//White 10 Green 20 Blue 50 Purple 100
//Weapon
Air Wave,50
Andre,10
Archer Skeleton,50
Bongun,10
Cruise,20
Dark Priest,20
Desert Wolf,50
Drainliar,20
Elder,20
Fabre,10
Familiar,10
Female Thief Bug,20
Flora,10
Goblin,10
Goblin Archer,50
Goblin Leader,50
Golem,10
Green Petite,20
Gryphon,50
Hornet,20
Hunter Fly,20
Hydra,50
Injustice,10
Kobold Archer,20
Lunatic,10
Magnolia,20
Mandragora,50
Mandragora,20
Marina,10
Menblatt,20
Meta Ant Egg,20
Metaller,20
Minorous,50
Multiplication,50
Mummy,10
Mutant Dragonoid,50
Orc Lady,20
Orc Skeleton,20
Peco Peco Egg,10
Raydric Archer,20
Rocker,10
Rotar Zairo,50
Skeleton,20
Skeleton Worker,50
Soldier Skeleton,50
Steam Goblin,50
Sting *,100
Vadon,10
Vitata,50
Vocal,50
Wanderer,20
Wolf,20
Zherlthsh,50
Zipper Bear,20
// Shield
Anubis,20
Aqua Elemental,50
Bigfoot,10
Centipede,50
Cornus,50
Dark Shadow,50
Draco,50
Gale Speed,20
High Orc ,10
Khalitzburg,20
Luciola Vespa,50
Marc,20
Munak,10
Orc Warrior,10
Penomena,50
Shadow Hunt,10
Sky Petite,10
Sting,10
Teddy Bear,50
Thief Bug,10
Thief Bug Egg,10
// Armor
Agav,50
Ancient Clock,20
Anolian,20
Archer Skeleton *,50
Argiope,20
Bathory,50
Brilight,20
Dokebi,20
Evil Druid,50
Munak *,100
Pasana,50
Peco Peco,50
Picky,10
Poring,10
Pupa,10
Roda Frog,10
Sandman,50
Savage,20
Succubus,50
Swordfish,50
Thara Frog,50
// Cloak
Baphomet Jr.,50
Dragon Fly,50
Dustiness,50
Eclipse,
Hode,50
Isis,10
Marionette,10
Marse,50
Myst,50
Nine Tail,20
Orc Zombie,20
Punk,20
Pupa *,50
Raydric,50
Toad,
Whisper,50
Wild Rose *,20
// Shoes
Alarm,20
Black Witch *,50
Chon Chon,10
Cookie,20
Eggyra,50
Ferus,50
Male Thief Bug,10
Matyr,20
Nine Tails *,20
Sohee,20
Verit,
Wild Rose,20
//Accessory
Caramel,
Creamy,
Elder Willow *,
Gargoyle,20
Gingerbread Man,20
Greatest General,20
Horong,10
Joker,20
Kaho,50
Kobold,50
Kukre,
Mantis,50
Marine Sphere,50
Mimic,10
Muka,10
Obeaune,10
Orc Archer,10
Phen,50
Poison Spore,10
Santa Poring,50
Scorpion,
Smokie,
Spore,20
Stem Worm,50
Tarou,20
Tarou *,50
Weak Puppet,10
Wind Ghost,50
Wormtail,50
Wraith,20
Yoyo,20
Zerom,50
Zipper Bear *,100
// Head
Black Witch,20
Carat,20
Cramp,20
Deviruchi,50
Elder Willow,20
Giearth,20
Incubus,50
Marduk,10
Mummy *,20
Myst Case,20
Nightmare,20
Pirate Skeleton,50
Rideword,20
Rocker *,50
Sealed Apocalypse,50
Sealed Lady White Snake,50
Willow,10
